model,mean_err,mae,rmse,median_abs_err,max_abs_err,mean_pct_err,mape,bid_ask_hit_%
BSM (European),-0.207,0.283,0.4252,0.1541,1.647,-0.63,1.63,85.9
CRR (American),-0.0158,0.2009,0.3466,0.1071,1.7423,-0.05,1.3,94.4
LSM (American),-0.3448,0.3973,0.5869,0.2376,1.8964,-1.76,2.22,62.7
