contractsymbol,lasttradedate,strike,lastprice,bid,ask,change,percentchange,volume,openinterest,impliedvolatility,inthemoney,contractsize,currency,option_type,ticker,expiration,valuation_date,mid,days_to_expiry,ttm,spot,moneyness,spread,spread_over_mid,trade_age_days,log_moneyness,maturity_bucket,iv_model,moneyness_flag,oos_flag,sample,iv_engine,price_bsm,delta_bsm,price_crr,delta_crr,price_lsm,eep_crr,eep_lsm
GOOG260410C00260000,2026-04-02 19:46:45,260.0,34.0,33.6,35.75,-1.8800011,-5.239691,5.0,72,0.6584506811523438,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,34.675,7,0.019178082191780823,294.4599914550781,0.8829722459584625,2.1499999999999986,0.062004325883201115,1,-0.12446151040277803,weekly,0.36492847452892246,itm,True,oos,0.44165005826662923,34.771540488148844,0.9811068888352472,34.77101210593799,0.9807895069847762,34.80655602691979,-0.000528382210852385,0.035015538770949206
GOOG260410C00272500,2026-04-02 19:48:29,272.5,21.69,20.5,24.25,-1.9899998,-8.403715,24.0,219,0.567265069580078,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,22.375,7,0.019178082191780823,294.4599914550781,0.9254228347064655,3.75,0.16759776536312848,1,-0.077504527315007,weekly,0.3275213898171263,itm,True,oos,0.3850046075124902,22.630528875523794,0.9323663193277921,22.630187773214058,0.9318170419918358,22.575006317467363,-0.0003411023097363852,-0.05552255805643114
GOOG260410C00275000,2026-04-02 19:57:55,275.0,20.14,19.35,20.9,-1.1599998,-5.446009,49.0,301,0.44360907958984375,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,20.125,7,0.019178082191780823,294.4599914550781,0.9339129524560661,1.5499999999999972,0.07701863354037253,1,-0.06837204375173445,weekly,0.34849056814350937,itm,True,oos,0.37336770816285214,20.27531709241819,0.9133918511897045,20.275963184150665,0.9127663087794291,20.197934514120636,0.0006460917324737636,-0.07738257829755568
GOOG260410C00277500,2026-04-02 19:28:45,277.5,17.32,16.55,19.2,-1.6700001,-8.794103,8.0,328,0.4753470434570312,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,17.875,7,0.019178082191780823,294.4599914550781,0.9424030702056667,2.6499999999999986,0.14825174825174817,1,-0.05932220823181651,weekly,0.3500353242539859,itm,True,oos,0.3616656018889979,17.962389431728553,0.8894622719748393,17.963754381721508,0.8884841310878603,17.86889308968347,0.001364949992954223,-0.09349634204508206
GOOG260410C00280000,2026-04-02 19:52:37,280.0,15.5,14.75,16.35,-1.5,-8.823529,135.0,766,0.4018614501953125,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,15.55,7,0.019178082191780823,294.4599914550781,0.9508931879552672,1.6000000000000014,0.10289389067524124,1,-0.0503535382490562,weekly,0.3325096638775954,itm,True,oos,0.3499356809798613,15.704043281016965,0.8594762159808997,15.705779677995006,0.8578978039242505,15.57941582850682,0.001736396978040844,-0.12462745251014518
GOOG260410C00282500,2026-04-02 19:36:55,282.5,12.7,12.3,14.65,-2.13,-14.36278,79.0,363,0.4185849157714844,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,13.475000000000001,7,0.019178082191780823,294.4599914550781,0.9593833057048679,2.3499999999999996,0.17439703153988864,1,-0.04146459083181015,weekly,0.3343595646138528,itm,False,calibration,0.33823498149859005,13.515953277936404,0.8222153283547167,13.51709256117348,0.8199977573489721,13.3667016822278,0.0011392832370749062,-0.1492515957086038
GOOG260410C00285000,2026-04-02 19:59:15,285.0,11.33,11.1,11.55,-1.0200005,-8.259113,425.0,1253,0.32691102783203124,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,11.325,7,0.019178082191780823,294.4599914550781,0.9678734234544685,0.45000000000000107,0.03973509933774844,1,-0.032653961149655235,weekly,0.31897874848056124,itm,False,calibration,0.3266480565278618,11.417846999309546,0.776434608015395,11.41565990530113,0.7739778834675278,11.211009673084739,-0.0021870940084163237,-0.20683732622480733
GOOG260410C00287500,2026-04-02 19:57:57,287.5,9.3,9.2,9.6,-1.4499998,-13.48837,551.0,594,0.3156806713867187,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,9.399999999999999,7,0.019178082191780823,294.4599914550781,0.9763635412040691,0.40000000000000036,0.04255319148936175,1,-0.02392028118090061,weekly,0.3128110279740304,itm,False,calibration,0.31529597774876283,9.434005734284085,0.7210475660410663,9.432955904287804,0.7193989284830358,9.241881398775863,-0.0010498299962815594,-0.19212433550822183
GOOG260410C00290000,2026-04-02 19:59:40,290.0,7.58,7.4,7.75,-1.21,-13.765643,1364.0,1558,0.3023751403808594,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,7.575,7,0.019178082191780823,294.4599914550781,0.9848536589536697,0.34999999999999964,0.04620462046204616,1,-0.015262218437786003,weekly,0.30313292196817143,itm,False,calibration,0.30435265353423047,7.593311486048833,0.655444966960472,7.598656660848979,0.6542982136322163,7.4152788528234,0.005345174800146069,-0.17803263322543295
GOOG260410C00292500,2026-04-02 19:58:11,292.5,5.9,5.8,6.1,-1.3499999,-18.620687,1228.0,971,0.291877198486328,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,5.949999999999999,7,0.019178082191780823,294.4599914550781,0.9933437767032702,0.2999999999999998,0.050420168067226864,1,-0.006678474746394621,weekly,0.2954309853793611,itm,False,calibration,0.2940491962246272,5.927972381767887,0.5799780602580165,5.928322577100371,0.5778685564111302,5.846412102765749,0.0003501953324835938,-0.08156027900213836
