expiration,ttm,a,b,rho,m,sigma,fit_rmse
2026-04-10,0.019178082191780823,0.0005522337232553837,0.015593812757112269,-0.301959387265296,0.025984600545182285,0.051591301990803105,5.69520804327132e-05
2026-05-01,0.07671232876712329,0.00317779483509972,0.03407045196878522,-0.7149152240222546,0.012954136364362325,0.19673193134291342,0.0001449274991544512
2026-06-18,0.20821917808219179,0.013119106527932361,0.05003775016974069,-0.7145196822380395,0.02951891108719688,0.22624214682284194,0.0002065277467260243
2026-09-18,0.4602739726027397,0.0378447636035219,0.07505977992699829,-0.710222151654399,0.023809916481142026,0.23774080145484197,0.0005132282605705337
2027-03-19,0.958904109589041,0.11373303373499576,1.1678050564896902,-0.999,-0.20201239395840043,0.04467789212841829,0.001586903769852593
